Numero,Nom,Type1,Type2,PV,Attaque,Defense,Attaque_speciale,Defense_speciale,Vitesse,Legendaire
60,Ptitard,Eau,,40,50,40,40,40,90,False
61,Têtarte,Eau,,65,65,65,50,50,90,False
62,Tartard,Eau,Combat,90,95,95,70,90,70,False
63,Abra,Psy,,25,20,15,105,55,90,False
64,Kadabra,Psy,,40,35,30,120,70,105,False
65,Alakazam,Psy,,55,50,45,135,95,120,False
66,Machoc,Combat,,70,80,50,35,35,35,False
67,Machopeur,Combat,,80,100,70,50,60,45,False
68,Mackogneur,Combat,,90,130,80,65,85,55,False
69,Chétiflor,Plante,Poison,50,75,35,70,30,40,False
70,Boustiflor,Plante,Poison,65,90,50,85,45,55,False
71,Empiflor,Plante,Poison,80,105,65,100,70,70,False
72,Tentacool,Eau,Poison,40,40,35,50,100,70,False
73,Tentacruel,Eau,Poison,80,70,65,80,120,100,False
74,Racaillou,Roche,Sol,40,80,100,30,30,20,False
75,Gravalanch,Roche,Sol,55,95,115,45,45,35,False
76,Grolem,Roche,Sol,80,120,130,55,65,45,False
77,Ponyta,Feu,,50,85,55,65,65,90,False
78,Galopa,Feu,,65,100,70,80,80,105,False
79,Ramoloss,Eau,Psy,90,65,65,40,40,15,False
80,Flagadoss,Eau,Psy,95,75,110,100,80,30,False
81,Magnéti,Électrik,Acier,25,35,70,95,55,45,False
82,Magnéton,Électrik,Acier,50,60,95,120,70,70,False
83,Canarticho,Normal,Vol,52,65,55,58,62,60,False
84,Doduo,Normal,Vol,35,85,45,35,35,75,False
85,Dodrio,Normal,Vol,60,110,70,60,60,100,False
86,Otaria,Eau,,65,45,55,45,70,45,False
87,Lamantine,Eau,Glace,90,70,80,70,95,70,False
88,Tadmorv,Poison,,80,80,50,40,50,25,False
89,Grotadmorv,Poison,,105,105,75,65,100,50,False
90,Kokiyas,Eau,,30,65,100,45,25,40,False
91,Crustabri,Eau,Glace,50,95,180,85,45,70,False
92,Fantominus,Spectre,Poison,30,35,30,100,35,80,False
93,Spectrum,Spectre,Poison,45,50,45,115,55,95,False
94,Ectoplasma,Spectre,Poison,60,65,60,130,75,110,False
95,Onix,Roche,Sol,35,45,160,30,45,70,False
96,Soporifik,Psy,,60,48,45,43,90,42,False
97,Hypnomade,Psy,,85,73,70,73,115,67,False
98,Krabby,Eau,,30,105,90,25,25,50,False
99,Krabboss,Eau,,55,130,115,50,50,75,False
100,Voltorbe,Électrik,,40,30,50,55,55,100,False
101,Électrode,Électrik,,60,50,70,80,80,140,False
102,Nœunœuf,Plante,Psy,60,40,80,60,45,40,False
103,Noadkoko,Plante,Psy,95,95,85,125,65,55,False
104,Osselait,Sol,,50,50,95,40,50,35,False
105,Ossatueur,Sol,,60,80,110,50,80,45,False
106,Kicklee,Combat,,50,120,53,35,110,87,False
107,Tygnon,Combat,,50,105,79,35,110,76,False
108,Excelangue,Normal,,90,55,75,60,75,30,False
109,Smogo,Poison,,40,65,95,60,45,35,False
110,Smogogo,Poison,,65,90,120,85,70,60,False
111,Rhinocorne,Sol,Roche,80,85,95,30,30,25,False
112,Rhinoféros,Sol,Roche,105,130,120,45,45,40,False
113,Leveinard,Normal,,250,5,5,35,105,50,False
114,Saquedeneu,Plante,,65,55,115,100,40,60,False
115,Kangaskhan,Normal,,105,95,80,40,80,90,False
116,Hypotrempe,Eau,,30,40,70,70,25,60,False
117,Hypocéan,Eau,,55,65,95,95,45,85,False
118,Poissirène,Eau,,45,67,60,35,50,63,False
119,Poissoroy,Eau,,80,92,65,65,80,68,False
120,Stari,Eau,,30,45,55,70,55,85,False
121,Staross,Eau,Psy,60,75,85,100,85,115,False
122,M. Mime,Psy,Fée,40,45,65,100,120,90,False
123,Insécateur,Insecte,Vol,70,110,80,55,80,105,False
124,Lippoutou,Glace,Psy,65,50,35,115,95,95,False
125,Élektek,Électrik,,65,83,57,95,85,105,False
126,Magmar,Feu,,65,95,57,100,85,93,False
127,Scarabrute,Insecte,,65,125,100,55,70,85,False
128,Tauros,Normal,,75,100,95,40,70,110,False
129,Magicarpe,Eau,,20,10,55,15,20,80,False
130,Léviator,Eau,Vol,95,125,79,60,100,81,False
131,Lokhlass,Eau,Glace,130,85,80,85,95,60,False
132,Métamorph,Normal,,48,48,48,48,48,48,False
133,Évoli,Normal,,55,55,50,45,65,55,False
134,Aquali,Eau,,130,65,60,110,95,65,False
135,Voltali,Électrik,,65,65,60,110,95,130,False
136,Pyroli,Feu,,65,130,60,95,110,65,False
137,Porygon,Normal,,65,60,70,85,75,40,False
138,Amonita,Roche,Eau,35,40,100,90,55,35,False
139,Amonistar,Roche,Eau,70,60,125,115,70,55,False
140,Kabuto,Roche,Eau,30,80,90,55,45,55,False
141,Kabutops,Roche,Eau,60,115,105,65,70,80,False
142,Ptéra,Roche,Vol,80,105,65,60,75,130,False
143,Ronflex,Normal,,160,110,65,65,110,30,False
144,Artikodin,Glace,Vol,90,85,100,95,125,85,True
145,Électhor,Électrik,Vol,90,90,85,125,90,100,True
146,Sulfura,Feu,Vol,90,100,90,125,85,90,True
147,Minidraco,Dragon,,41,64,45,50,50,50,False
148,Draco,Dragon,,61,84,65,70,70,70,False
149,Dracolosse,Dragon,Vol,91,134,95,100,100,80,False
150,Mewtwo,Psy,,106,110,90,154,90,130,True
151,Mew,Psy,,100,100,100,100,100,100,False
152,Germignon,Plante,,45,49,65,49,65,45,False
153,Macronium,Plante,,60,62,80,63,80,60,False
155,Héricendre,Feu,,39,52,43,60,50,65,False
156,Feurisson,Feu,,58,64,58,80,65,80,False
157,Typhlosion,Feu,,78,84,78,109,85,100,False
158,Kaiminus,Eau,,50,65,64,44,48,43,False
159,Crocrodil,Eau,,65,80,80,59,63,58,False
160,Aligatueur,Eau,,85,105,100,79,83,78,False
161,Fouinette,Normal,,35,46,34,35,45,20,False
162,Fouinar,Normal,,85,76,64,45,55,90,False
163,Hoothoot,Normal,Vol,60,30,30,36,56,50,False
164,Noarfang,Normal,Vol,100,50,50,76,96,70,False
165,Coxy,Insecte,Vol,40,20,30,40,80,55,False
166,Coxyclaque,Insecte,Vol,55,35,50,55,110,85,False
167,Mimigal,Insecte,Poison,40,60,40,40,40,30,False
168,Migalos,Insecte,Poison,70,90,70,60,60,40,False
169,Nostenfer,Poison,Vol,85,90,80,70,80,130,False
170,Loupio,Eau,Électrik,75,38,38,56,56,67,False
171,Lanturn,Eau,Électrik,125,58,58,76,76,67,False
172,Pichu,Électrik,,20,40,15,35,35,60,False
173,Mélo,Fée,,50,25,28,45,55,15,False
174,Toudoudou,Normal,Fée,90,30,15,40,20,15,False
175,Togepi,Fée,,35,20,65,40,65,20,False
176,Togetic,Fée,Vol,55,40,85,80,105,40,False
177,Natu,Psy,Vol,40,50,45,70,45,70,False
178,Xatu,Psy,Vol,65,75,70,95,70,95,False
179,Wattouat,Électrik,,55,40,40,65,45,35,False
180,Lainergie,Électrik,,70,55,55,80,60,45,False
181,Pharamp,Électrik,,90,75,85,115,90,55,False
182,Joliflor,Plante,,75,80,95,90,100,50,False
183,Marill,Eau,Fée,70,20,50,20,50,40,False
184,Azumarill,Eau,Fée,100,50,80,60,80,50,False
185,Simularbre,Roche,,70,100,115,30,65,30,False
186,Tarpaud,Eau,,90,75,75,90,100,70,False
187,Granivol,Plante,Vol,35,35,40,35,55,50,False
188,Floravol,Plante,Vol,55,45,50,45,65,80,False
189,Cotovol,Plante,Vol,75,55,70,55,95,110,False
190,Capumain,Normal,,55,70,55,40,55,85,False
191,Tournegrin,Plante,,30,30,30,30,30,30,False
192,Héliatronc,Plante,,75,75,55,105,85,30,False
193,Yanma,Insecte,Vol,65,65,45,75,45,95,False
194,Axoloto,Eau,Sol,55,45,45,25,25,15,False
195,Maraiste,Eau,Sol,95,85,85,65,65,35,False
196,Mentali,Psy,,65,65,60,130,95,110,False
197,Noctali,Ténèbres,,95,65,110,60,130,65,False
198,Corbeau,Ténèbres,Vol,60,85,42,85,42,91,False
199,Roigada,Eau,Psy,95,75,80,100,110,30,False
200,Feuforêve,Spectre,,60,60,60,85,85,85,False
201,Zarbi,Psy,,48,72,48,72,48,48,False
202,Qulbuto,Psy,,190,33,58,33,58,33,False
203,Girafarig,Normal,Psy,70,80,65,90,65,85,False
204,Pomdepic,Insecte,,50,65,90,35,35,15,False
205,Foretress,Insecte,Acier,75,90,140,60,60,40,False
206,Dundouille,Normal,,100,70,70,65,65,45,False
207,Scorplane,Sol,Vol,65,75,105,35,65,85,False
208,Steelix,Acier,Sol,75,85,200,55,65,30,False
209,Snubbull,Fée,,60,80,50,40,40,30,False
210,Granbull,Fée,,90,120,75,60,60,45,False
211,Qwilfish,Eau,Poison,65,95,75,55,55,85,False
212,Cizayox,Insecte,Acier,70,130,100,55,80,65,False
213,Caratroc,Insecte,Roche,20,10,230,10,230,5,False
214,Scarhino,Insecte,Combat,80,125,75,40,95,85,False
215,Farfuret,Ténèbres,Glace,55,95,55,35,75,115,False
216,Teddiursa,Normal,,60,80,50,50,50,40,False
217,Ursaring,Normal,,90,130,75,75,75,55,False
218,Limagma,Feu,,40,40,40,70,40,20,False
219,Volcaropod,Feu,Roche,50,50,120,80,80,30,False
220,Marcacrin,Glace,Sol,50,50,40,30,30,50,False
221,Cochignon,Glace,Sol,100,100,80,60,60,50,False
222,Corayon,Eau,Roche,55,55,85,65,85,35,False
223,Rémoraid,Eau,,35,65,35,65,35,65,False
224,Octillery,Eau,,75,105,75,105,75,45,False
225,Cadoizo,Glace,Vol,45,55,45,65,45,75,False
226,Démanta,Eau,Vol,65,40,70,80,140,70,False
227,Airmure,Acier,Vol,65,80,140,40,70,70,False
228,Malosse,Ténèbres,Feu,45,60,30,80,50,65,False
229,Démolosse,Ténèbres,Feu,75,90,50,110,80,95,False
230,Hyporoi,Eau,Dragon,75,95,95,95,95,85,False
231,Phanpy,Sol,,90,60,60,40,40,40,False
232,Donphan,Sol,,90,120,120,60,60,50,False
233,Porygon2,Normal,,85,80,90,105,95,60,False
234,Cerfrousse,Normal,,73,95,62,85,65,85,False
235,Queulorior,Normal,,55,20,35,20,45,75,False
236,Debugant,Combat,,35,35,35,35,35,35,False
237,Kapoera,Combat,,50,95,95,35,110,70,False
238,Lippouti,Glace,Psy,45,30,15,85,65,65,False
239,Élekid,Électrik,,45,63,37,65,55,95,False
240,Magby,Feu,,45,75,37,70,55,83,False
241,Écrémeuh,Normal,,95,80,105,40,70,100,False
242,Leuphorie,Normal,,255,10,10,75,135,55,False
243,Raikou,Électrik,,90,85,75,115,100,115,True
244,Entei,Feu,,115,115,85,90,75,100,True
245,Suicune,Eau,,100,75,115,90,115,85,True
246,Larvitar,Roche,Sol,50,64,50,45,50,41,False
247,Ymphect,Roche,Sol,70,84,70,65,70,51,False
248,Tyranocif,Roche,Ténèbres,100,134,110,95,100,61,False
249,Lugia,Psy,Vol,106,90,130,90,154,110,True
250,Ho-oh,Feu,Vol,106,130,90,110,154,90,True
251,Célébi,Psy,Plante,100,100,100,100,100,100,False
252,Arcko,Plante,,40,45,35,65,55,70,False
253,Massko,Plante,,50,65,45,85,65,95,False
254,Jungko,Plante,,70,85,65,105,85,120,False
255,Poussifeu,Feu,,45,60,40,70,50,45,False
256,Galifeu,Feu,Combat,60,85,60,85,60,55,False
257,Braségali,Feu,Combat,80,120,70,110,70,80,False
258,Gobou,Eau,,50,70,50,50,50,40,False
259,Flobio,Eau,Sol,70,85,70,60,70,50,False
260,Laggron,Eau,Sol,100,110,90,85,90,60,False
261,Medhyena,Ténèbres,,35,55,35,30,30,35,False
262,Grahyena,Ténèbres,,70,90,70,60,60,70,False
263,Zigzaton,Normal,,38,30,41,30,41,60,False
264,Lineon,Normal,,78,70,61,50,61,100,False
265,Chenipotte,Insecte,,45,45,35,20,30,20,False
266,Armulys,Insecte,,50,35,55,25,25,15,False
267,Charmillon,Insecte,Vol,60,70,50,100,50,65,False
268,Blindalys,Insecte,,50,35,55,25,25,15,False
269,Papinox,Insecte,Poison,60,50,70,50,90,65,False
270,Nénupiot,Eau,Plante,40,30,30,40,50,30,False
271,Lombre,Eau,Plante,60,50,50,60,70,50,False
272,Ludicolo,Eau,Plante,80,70,70,90,100,70,False
273,Grainipiot,Plante,,40,40,50,30,30,30,False
274,Pifeuille,Plante,Ténèbres,70,70,40,60,40,60,False
275,Tengalice,Plante,Ténèbres,90,100,60,90,60,80,False
276,Nirondelle,Normal,Vol,40,55,30,30,30,85,False
277,Hélédelle,Normal,Vol,60,85,60,50,50,125,False
278,Goélise,Eau,Vol,40,30,30,55,30,85,False
279,Bekipan,Eau,Vol,60,50,100,85,70,65,False
280,Tarsal,Psy,Fée,28,25,25,45,35,40,False
281,Kirlia,Psy,Fée,38,35,35,65,55,50,False
282,Gardevoir,Psy,Fée,68,65,65,125,115,80,False
283,Arakdo,Insecte,Eau,40,30,32,50,52,65,False
284,Maskadra,Insecte,Vol,70,60,62,80,82,60,False
285,Balignon,Plante,,60,40,60,40,60,35,False
286,Chapignon,Plante,Combat,60,130,80,60,60,70,False
287,Parecool,Normal,,60,60,60,35,35,30,False
288,Vigoroth,Normal,,80,80,80,55,55,90,False
289,Monaflèche,Normal,,150,160,100,95,65,100,False
290,Ningale,Insecte,Sol,31,45,90,30,30,40,False
291,Ninjask,Insecte,Vol,61,90,45,50,50,160,False
292,Munja,Insecte,Spectre,1,90,45,30,30,40,False
293,Chuchmur,Normal,,64,51,23,51,23,28,False
294,Ramboum,Normal,,84,71,43,71,43,48,False
295,Brouhabam,Normal,,104,91,63,91,73,68,False
296,Makuhita,Combat,,72,60,30,20,30,25,False
297,Hariyama,Combat,,144,120,60,40,60,50,False
298,Azurill,Normal,Fée,50,20,40,20,40,20,False
299,Tarinorme,Roche,,30,45,135,45,90,30,False
300,Skitty,Normal,,50,45,45,35,35,50,False
301,Delcatty,Normal,,70,65,65,55,55,70,False
302,Ténéfixe,Ténèbres,Spectre,50,75,75,65,65,50,False
303,Mysdibule,Acier,Fée,50,85,85,55,55,50,False
304,Minior,Acier,Roche,50,70,100,40,40,30,False
305,Lairmure,Acier,Roche,60,90,140,50,50,40,False
306,Galeking,Acier,Roche,70,110,180,60,60,50,False
307,Méditikka,Combat,Psy,30,40,55,40,55,60,False
308,Charmina,Combat,Psy,60,60,75,60,75,80,False
309,Dynavolt,Électrik,,40,45,40,65,40,65,False
310,Pharamp,Électrik,,70,75,60,105,60,105,False
311,Posipi,Électrik,,60,50,40,85,75,95,False
312,Négapi,Électrik,,60,40,50,75,85,95,False
313,Volbeat,Insecte,,65,73,55,47,75,85,False
314,Lumivole,Insecte,,65,47,55,73,75,85,False
315,Rosélia,Plante,Poison,50,60,45,100,80,65,False
316,Gloupti,Poison,,70,43,53,43,53,40,False
317,Avaltout,Poison,,100,73,83,73,83,55,False
318,Carvanha,Eau,Ténèbres,45,90,20,65,20,65,False
319,Sharpedo,Eau,Ténèbres,70,120,40,95,40,95,False
320,Wailmer,Eau,,130,70,35,70,35,60,False
321,Wailord,Eau,,170,90,45,90,45,60,False
322,Chamallot,Feu,Sol,60,60,40,65,45,35,False
323,Camérupt,Feu,Sol,70,100,70,105,75,40,False
324,Charbambin,Feu,,70,85,140,85,70,20,False
325,Spoink,Psy,,60,25,35,70,80,60,False
326,Groret,Psy,,80,45,65,90,110,80,False
327,Spinda,Normal,,60,60,60,60,60,60,False
328,Kecleon,Sol,,45,100,45,45,45,10,False
329,Vibraninf,Sol,Dragon,50,70,50,50,50,70,False
330,Libégon,Sol,Dragon,80,100,80,80,80,100,False
331,Cacnea,Plante,,50,85,40,85,40,35,False
332,Cacturne,Plante,Ténèbres,70,115,60,115,60,55,False
333,Tylton,Normal,Vol,45,40,60,40,75,50,False
334,Altaria,Dragon,Vol,75,70,90,70,105,80,False
335,Zangoose,Normal,,73,115,60,60,60,90,False
336,Seviper,Poison,,73,100,60,100,60,65,False
337,Lunatone,Roche,Psy,70,55,65,95,85,70,False
338,Solaroc,Roche,Psy,70,95,85,55,65,70,False
339,Barloche,Eau,Sol,50,48,43,46,41,60,False
340,Barbicha,Eau,Sol,110,78,73,76,71,60,False
341,Écrapince,Eau,,43,80,65,50,35,35,False
342,Colhomard,Eau,Ténèbres,63,120,85,90,55,55,False
343,Balbuto,Sol,Psy,40,40,55,40,70,55,False
344,Kaorine,Sol,Psy,60,70,105,70,120,75,False
345,Lilia,Roche,Plante,66,41,77,61,87,23,False
346,Vacilys,Roche,Plante,86,81,97,81,107,43,False
347,Anorith,Roche,Insecte,45,95,50,40,50,75,False
348,Armaldo,Roche,Insecte,75,125,100,70,80,45,False
349,Barpau,Eau,,20,15,20,10,55,80,False
350,Milobellus,Eau,,95,60,79,100,125,81,False
351,Morphéo,Normal,,70,70,70,70,70,70,False
352,Kecleon,Normal,,60,90,70,60,120,40,False
353,Polichombr,Spectre,,44,75,35,63,33,45,False
354,Branette,Spectre,,64,115,65,83,63,65,False
355,Skelénox,Spectre,,20,40,90,30,90,25,False
356,Téraclope,Spectre,,40,70,130,60,130,25,False
357,Tropius,Plante,Vol,99,68,83,72,87,51,False
358,Éoko,Psy,,65,50,70,95,80,65,False
359,Absol,Ténèbres,,65,130,60,75,60,75,False
360,Okéoké,Psy,,95,23,48,23,48,23,False
361,Stalgamin,Glace,,50,50,50,50,50,50,False
362,Oniglali,Glace,,80,80,80,80,80,80,False
363,Obalie,Glace,Eau,70,40,50,55,50,25,False
364,Phoque,Glace,Eau,90,60,70,75,70,45,False
365,Doduos,Glace,Eau,110,80,90,95,90,65,False
366,Coquiperl,Eau,,35,64,85,74,55,32,False
367,Serpang,Eau,,55,104,105,94,75,52,False
368,Rosabyss,Eau,,55,84,105,114,75,52,False
369,Relicanth,Eau,Roche,100,90,130,45,65,55,False
370,Lovdisc,Eau,,43,30,55,40,65,97,False
371,Draby,Dragon,,45,75,60,40,30,50,False
372,Drackhaus,Dragon,,65,95,100,60,50,50,False
373,Draargh,Dragon,Vol,95,135,80,110,80,100,False
374,Terhal,Acier,Psy,40,55,80,35,60,30,False
375,Métang,Acier,Psy,60,75,100,55,80,50,False
376,Métalosse,Acier,Psy,80,135,130,95,90,70,False
377,Regirock,Roche,,80,100,200,50,100,50,True
378,Regice,Glace,,80,50,100,100,200,50,True
379,Registeel,Acier,,80,75,150,75,150,50,True
380,Latias,Dragon,Psy,80,80,90,110,130,110,True
381,Latios,Dragon,Psy,80,90,80,130,110,110,True
382,Kyogre,Eau,,100,100,90,150,140,90,True
383,Groudon,Sol,,100,150,140,100,90,90,True
384,Rayquaza,Dragon,Vol,105,150,90,150,90,95,True
385,Jirachi,Acier,Psy,100,100,100,100,100,100,True
386,Deoxys,Psy,,50,150,50,150,50,150,True
387,Tortipouss,Plante,,55,68,64,45,55,31,False
388,Boskara,Plante,,75,89,85,55,65,36,False
389,Torterra,Plante,Sol,95,109,105,75,85,56,False
390,Ouisticram,Feu,,44,58,44,58,44,61,False
391,Chimpenfeu,Feu,Combat,64,78,52,78,52,81,False
392,Simiabraz,Feu,Combat,76,104,71,104,71,108,False
393,Tiplouf,Eau,,53,51,53,61,56,40,False
394,Prinplouf,Eau,,64,66,68,81,76,50,False
395,Pingoléon,Eau,Acier,84,86,88,111,101,60,False
396,Étourmi,Normal,Vol,40,55,30,30,30,60,False
397,Étourvol,Normal,Vol,55,75,50,40,40,80,False
398,Étouraptor,Normal,Vol,85,120,70,50,60,100,False
399,Bidoof,Normal,,59,45,40,35,40,31,False
400,Castorno,Normal,Eau,79,85,60,55,60,71,False
401,Crikzik,Insecte,,37,25,41,25,41,25,False
402,Mélokrik,Insecte,,77,85,51,55,51,65,False
403,Lixy,Électrik,,45,65,34,40,34,45,False
404,Luxio,Électrik,,60,85,49,60,49,60,False
405,Luxray,Électrik,,80,120,79,95,79,70,False
406,Rozbouton,Plante,Poison,40,30,35,50,70,55,False
407,Roserade,Plante,Poison,60,70,65,125,105,90,False
408,Kranidos,Roche,,67,125,40,30,30,58,False
409,Rampardos,Roche,,97,165,60,65,50,58,False
410,Dinoclier,Roche,Acier,30,42,118,42,88,30,False
411,Bastiodon,Roche,Acier,60,52,168,47,138,30,False
412,Cheniti,Insecte,,40,29,45,29,45,36,False
413,Cheniselle,Insecte,Plante,60,59,85,79,105,36,False
414,Papilord,Insecte,Vol,70,94,50,94,50,66,False
415,Apitrini,Insecte,Vol,30,30,42,30,42,70,False
416,Apireine,Insecte,Vol,70,80,102,80,102,40,False
417,Pachirisu,Électrik,,60,45,70,45,90,95,False
418,Buizel,Eau,,55,65,35,60,30,85,False
419,Flotzel,Eau,,85,105,55,85,50,115,False
420,Ceribou,Plante,,45,35,45,62,53,35,False
421,Ceriflor,Plante,,70,60,70,87,78,85,False
422,Sancoki,Eau,,76,48,48,57,62,34,False
423,Tritosor,Eau,Sol,111,83,68,92,82,39,False
424,Capidextre,Normal,,75,100,66,60,66,115,False
425,Baudrive,Spectre,Vol,90,50,34,60,44,70,False
426,Grodrive,Spectre,Vol,150,80,44,90,54,80,False
427,Laporeille,Normal,,55,66,44,44,56,85,False
428,Lockpin,Normal,,65,76,84,54,96,105,False
429,Magirêve,Spectre,,60,60,60,105,105,105,False
430,Corboss,Ténèbres,Vol,100,125,52,105,52,71,False
431,Chaglam,Normal,,49,55,42,42,37,85,False
432,Chaffreux,Normal,,71,82,64,64,59,112,False
433,Cliticlic,Psy,,45,30,50,65,50,45,False
434,Moufouard,Poison,Ténèbres,63,63,47,41,41,74,False
435,Moufflair,Poison,Ténèbres,103,93,67,71,61,84,False
436,Archéomire,Acier,Psy,57,24,86,24,86,23,False
437,Archéodong,Acier,Psy,67,89,116,79,116,33,False
438,Manzaï,Roche,,50,80,95,10,45,10,False
439,Mime Jr.,Psy,Fée,20,25,45,70,90,60,False
440,Ptiravi,Normal,,100,5,5,15,65,30,False
441,Pijako,Normal,Vol,76,65,45,92,42,91,False
442,Spiritombe,Spectre,Ténèbres,50,92,108,92,108,35,False
443,Griknot,Dragon,Sol,58,70,45,40,45,42,False
444,Carmache,Dragon,Sol,68,90,65,50,55,82,False
445,Carchacrok,Dragon,Sol,108,130,95,80,85,102,False
446,Goinfrex,Normal,,135,85,40,40,85,5,False
447,Riolu,Combat,,40,70,40,35,40,60,False
448,Lucario,Combat,Acier,70,110,70,115,70,90,False
449,Hippopotas,Sol,,68,72,78,38,42,32,False
450,Hippodocus,Sol,,108,112,118,68,72,47,False
451,Skorupa,Poison,Insecte,40,50,90,30,55,65,False
452,Drapion,Poison,Ténèbres,70,90,110,60,75,95,False
453,Cradopaud,Poison,Combat,48,61,40,61,40,50,False
454,Coatox,Poison,Combat,83,106,65,86,65,85,False
455,Carnivine,Plante,,74,100,72,90,72,46,False
456,Finneon,Eau,,49,49,56,49,61,66,False
457,Lumineon,Eau,,69,69,76,69,86,91,False
458,Babimanta,Eau,Vol,45,20,50,60,120,50,False
459,Blizaroi,Plante,Glace,60,62,50,62,60,40,False
460,Blizzaroi,Plante,Glace,90,92,75,92,85,60,False
461,Dimoret,Ténèbres,Glace,70,120,65,45,85,125,False
462,Magnézone,Électrik,Acier,70,70,115,130,90,60,False
463,Coudlangue,Normal,,110,85,95,80,95,50,False
464,Rhinastoc,Sol,Roche,115,140,130,55,55,40,False
465,Tengalice,Plante,,100,100,125,110,50,50,False
466,Élekable,Électrik,,75,123,67,95,85,95,False
467,Maganon,Feu,,75,95,67,125,95,83,False
468,Togekiss,Fée,Vol,85,50,95,120,115,80,False
469,Yanmega,Insecte,Vol,86,76,86,116,56,95,False
470,Phyllali,Plante,,65,110,130,60,65,95,False
471,Givrali,Glace,,65,60,110,130,95,65,False
472,Scorvol,Sol,Vol,75,95,125,45,75,95,False
473,Mammochon,Glace,Sol,110,130,80,70,60,80,False
474,Porygon-Z,Normal,,85,80,70,135,75,90,False
475,Gallame,Psy,Combat,68,125,65,65,115,80,False
476,Tarinorme,Roche,Acier,60,55,145,75,150,40,False
477,Noctunoir,Spectre,,45,100,135,65,135,45,False
478,Momartik,Glace,Spectre,70,80,70,80,70,110,False
479,Motisma,Électrik,Spectre,50,50,77,95,77,91,False
480,Créfollet,Psy,,75,75,130,75,130,95,True
481,Créfadet,Psy,,80,105,105,105,105,80,True
482,Créfou,Psy,,75,125,70,125,70,115,True
483,Dialga,Acier,Dragon,100,120,120,150,100,90,True
484,Palkia,Eau,Dragon,90,120,100,150,120,100,True
485,Heatran,Feu,Acier,91,90,106,130,106,77,True
